회사명,고유번호
아이티엠,366836
코산아이엔티,444426
미광핸드백,261665
신정건설,363945
코이넬,414832
서울제일차유동화전문유한회사,383161
이지닷컴,163026
지에프엠에스,414610
언아더월드,415947
로티스,304605
이파워게이트,414957
윤진개발,416229
레이디,120243
미트마트옥션,411659
아싸,198314
웰리치개발,413408
항도종합금융,163965
아이텍테크널러지,416724
중앙제약,218502
우남산업,364175
윈로지스뉴톤보레알,417422
한국지방재정공제회,417981
창도건설,307046
부국개발,237349
유경엔지니어링,414364
한국레이저영상,417626
씨에이블,418050
아토메가,415567
도레미농산,247984
다인개발,371494
호만기업,358147
갑을개발,150554
에버그린유동화전문유한회사,305279
맥트랜스인터내셔날,386326
거봉,100753
대산레미콘,204703
크레딧크리에이터이천이유동화전문유한회사,417316
신택,207959
바티오테크,411109
하우징그룹우신,417477
통인물류정보통신,414054
에스지에스컨테크,303730
광호,362229
펜다하우스,317326
프르덴셜어슈어런스컴퍼니리티니드,418430
KTB장기증권저축펀드,434447
KTB하이스타혼합형펀드,434526
한국광학초자,433721
광평개발,434207
KTB밸류스타혼합형펀드,434562
KTB글로벌스타주식형펀드,434571
KTB프라임4호주식형사모펀드,434580
KTB베스트바이혼합형펀드,434599
KTB하이턴펀드,434605
마이다스A등급채권혼합형펀드,434614
맥쿼리아이엠엠프라임3혼합형사모펀드,435145
피이아이코리아사모엠엔에이일호펀드,396448
아담소프트,430937
피델리티펀드,423034
유리크레디트채권혼합형펀드,435127
KTB프리미엄찬스혼합형펀드,434544
KTB에이스찬스혼합형펀드,434553
다린정보,432050
기보캐피탈제일차유동화전문유한회사,344843
엘에스에프프로퍼티투유동화전문,371908
온디지털테크,339090
캐피탈그룹인터내셔널인코포레이티드,337986
세림아이텍,206136
코스유동화전문유한회사,440411
뉴밀레니엄하나유동화전문유한회사,422309
동양정보통신M&A,439257
하이페리온제삼차유동화전문유한회사,439284
코머스에셋,439424
경동실업,435011
에스티엑스제이차유동화전문유한회사,428525
오일뱅크제삼차유동화전문유한회사,427128
케이지브이제일차유동화전문유한회사,428677
인성어패럴,436560
소프티안,440697
동양알미늄,439734
소모페스트,327387
젤존항공여행사,437611
바이오엔비텍,321064
세원반도체,362557
두원그린피아,224105
미도핸드백,447654
대영테크,453169
아이비젠,371388
한화포리마,144340
신케이에스유동화전문유한회사,437204
프라임유동화전문유한회사,443302
우영제일차유동화전문유한회사,436463
한컴리눅스,452692
두산건설제육유동화전문유한회사,441739
산은부동산제팔차유동화전문유한회사,441669
오토피아제칠차유동화전문유한회사,436940
외환카드제팔차유동화전문유한회사,436959
삼성신한아하론일차유동화전문유한회사,427526
현대유동화전문유한회사,264705
칼제일차유동화전문유한회사,387714
백두건설,300946
리엔텍,402086
대양건설,452461
건양콘크리트,100948
맥스미디어,365572
루넷,400486
충일아스콘,417909
태양연와공업,153816
제동,414586
농협축산유통,187637
동서D&S,415035
에스앤제이,235864
창영물산,416043
태화건설,174280
동방코리아,417352
영텍스타일,238223
고려소재개발,234740
아이앤알코리아기업구조조정전문,417565
건륭실업,192958
충주공용버스터미널,387459
푸른도시개발,415761
로고스이넷,404011
대광종합건설,168553
굿윌씨앤아이,309804
아라아이디시,408600
디엠아이디,418731
웅보개발,363121
광복산업개발,230577
리빙티브이,295671
산은부동산제삼차유동화전문유한회사,418759
신라,211448
글로만,406170
서림개스실린더,301060
파인에셋홀딩스,242350
세일,134352
한일밀라노.존,420569
첼린저이차유동화전문유한회사,422141
휴민텍,422178
템플턴스트래티직이머징마켓츠펀드엘디씨,419891
신한파이낸스,419907
코오롱모터스,310989
큐마트솔루션,420976
나은미디어,421072
BystronicLaserAG,423706
코브코유동화전문유한회사,384425
칼스버그에이에스,350297
아이엠씨마케팅,421124
글로벌채권프리미엄혼합형펀드,434632
KTB밸류코스닥혼합형펀드,434650
KTB밸류코리아혼합형사모펀드,434669
스톰홀딩스,429658
아이넥스테크놀로지,118831
세종토건,205483
부평유선방송,434492
KTB온누리혼합형펀드,435622
미래에셋인디펜던스오십혼합형펀드,435631
KTB드림코스닥혼합형펀드,435695
유리리버스국채인덱스혼합형펀드,434845
유리비너스채권형사모펀드,434854
세이프알파헷지채권혼합형펀드,434863
알파롱숏30혼합형사모펀드,435020
맥쿼리IMM마켓플러스채권혼합형펀드,435154
맥쿼리아이엠엠플러스알파혼합형펀드,435163
맥쿼리아이엠엠베스트채권혼합형펀드,435172
코스모스유동화전문유한회사,431583
우리쉽모기지제일차유동화전문유한회사,429199
산은부동산제육차유동화전문유한회사,428905
디더블유씨삼차유동화전문유한회사,433110
파이오니어유동화전문유한회사,430849
오토피아제육차유동화전문유한회사,432032
로쿠스개발,393432
신하나로제일차유동화전문유한회사,442853
지유,309442
새한종합금융,130055
금성건설,441429
현대케이블,301219
씨앤티스,298890
경도산업개발,441942
현진,407355
코코스,240699
카포넷,403818
에이스텔레콤,360993
씨투커뮤니케이션,365633
지청이엔씨,452896
이토스템,413790
대한종합건설,452294
대원주택,192374
선일기업,181776
고려식품,168191
유니버스토건,454007
아이디스,363963
윌로산업,197412
인테그럴에스에이,376417
에스디윈테크,453512
한국다까미야,223744
보나벤처타운,415664
유림섬유,184515
남강어패럴,176622
대건디앤씨,449306
화인종합건설,416441
크레디온,383709
시스콘,446813
희라통상,416098
티아이엔시,230489
덕우산업개발,301033
한결인포텍,420994
리더스초이스,422220
파산자나라종합금융,116958
다이아몬드에셋,418962
밸류투자자문,374002
케이비텔레콤,245135
광윤사,421300
패밀리,421319
에이치에스에프원유동화전문유한회사,422275
지알엔홀딩스,422293
고려원,102946
글로벌리소스네트워크,418795
시넥틱스,312756
제이앤드씨캐피탈,420000
ThePlatinumInternationalFund,421346
파산자동서호라이즌증권,288413
유상,204138
싱글유동화전문유한회사,421382
마이다스관광호텔,338204
세라테크,309929
보광씨에스,419138
한국산업기술진흥협회,420116
크리스탈사모M&A펀드2호,435181
맥쿼리아이엠엠액티브채권혼합형2호사모펀드,435190
마이다스코스닥50인덱스펀드,435215
동부건설제일차유동화전문유한회사,429214
